id,word,wikidata,type,translation,ref,variants,context
26,DERCMASOC,Q68001907,Q79401991,(he who has) an elegant /filthy eye,"McManus 1991,§6.10",[DERCMASOC],{string}
27,CUNAMAGLI,Q106703641 ,Q79401991,prince of wolves,"McManus 1991,§6.10",[CUNAMAGLI],{string}
28,CUNANETAS,Q101349712,Q79401991,champion of the wolves,"McManus 1991,§6.10",[CUNANETAS|CUNNETAS],{string}
29,CATABAR,Q106703642 ,Q79401991,head (`chief`) of battle,"McManus 1991,§6.10",[CATABAR],{string}
30,CATTUVVIRR,Q106703644 ,Q79401991,man of battle,"McManus 1991,§6.10",[CATTUVVIRR],{string}
31,CVNORIX,Q106703645 ,Q79401991,king of wolves,"McManus 1991,§6.10",[CVNORIX],{string}
32,CUNAGUSSOS,Q106703646 ,Q79401991,(he who has) the strengh of a wolf,"McManus 1991,§6.10",[CUNAGUSSOS],{string}
33,VERGOSO,Q106703648 ,Q79401991,(he who has) the strengh of a man,"McManus 1991,§6.10",[VERGOSO],{string}
34,VENDVBARI,Q106703650 ,Q79401991,(he who has) a fair head of hear,"McManus 1991,§6.10",[VENDVBARI],{string}
35,INEQAGLAS,Q106703652 ,Q79401991,having a grey face,"McManus 1991,§6.10",[INEQAGLAS],{string}
36,BARRIVENDI,Q106703653 ,Q79401991,(he who has) a  a fair head of hear,"McManus 1991,§6.10",[BARRIVENDI],{string}
37,ACTO,Q106703655 ,Q79401991,drives,"McManus 1991,§6.11",[ACTO],{string}
38,ALATTOS,Q106703656 ,Q79401991,wild,"McManus 1991,§6.11",[ALATTOS|ALATTO],{string}
39,BAIT,Q106703659 ,Q79401991,foolish,"McManus 1991,§6.11",[BAIT],{string}
40,BARI,Q106703660 ,Q79401991,"top, head","McManus 1991,§6.11",[BARI],{string}
41,BIR,Q106703661 ,Q79401991,short heared,"McManus 1991,§6.11",[BIR],{string}
42,BROCI,Q106703663 ,Q79401991,badger,"McManus 1991,§6.11",[BROCI|BROCC],{string}
43,BRUSCCOS,Q106703664 ,Q79401991,thunder,"McManus 1991,§6.11",[BRUSCCOS|BRUSCO],{string}
44,CARI,Q106703667 ,Q79401991,loves,"McManus 1991,§6.11",[CARI],{string}
45,CORBBI,Q106703669 ,Q79401991,defiles,"McManus 1991,§6.11",[CORBBI],{string}
46,CORRE,Q106703670 ,Q79401991,heron,"McManus 1991,§6.11",[CORRE],{string}
47,CURCI,Q106703672 ,Q79401991,"heart or reddens, burns","McManus 1991,§6.11",[CURCI],{string}
48,DALI,Q106703673 ,Q79401991,blind,"McManus 1991,§6.11",[DALI|DALA],{string}
49,DEGOS,Q106703676 ,Q79401991,"flame,blaze","McManus 1991,§6.11",[DEGOS|DEGO],{string}
50,DOMMO,Q106703677 ,Q79401991,Domma,"McManus 1991,§6.11",[DOMMO],{string}
51,DRUGNO,Q106703679 ,Q79401991,dróna,"McManus 1991,§6.11",[DRUGNO|DROGNO],{string}
52,ERC,Q106703682 ,Q79401991,"heaven,cow","McManus 1991,§6.11",[ERC],{string}
53,IARNI,Q106703683 ,Q79401991,iron,"McManus 1991,§6.11",[IARNI],{string}
54,MEDVVI,Q106703685 ,Q79401991,mead,"McManus 1991,§6.11",[MEDVVI],{string}
55,RODDOS,Q106703686 ,Q79401991,"red,Ríata","McManus 1991,§6.11",[RODDOS|REDDOS],{string}
56,TRENU,Q106703689 ,Q79401991,strong/Trian,"McManus 1991,§6.11",[TRENU],{string}
57,TIGIRIN,Q106703691 ,Q79401991,lord,"McManus 1991,§6.11",[TIGIRIN],{string}
58,VORGOS,Q106703692 ,Q79401991,Forgo,"McManus 1991,§6.11",[VORGOS],{string}
59,VRAICCI,Q106703694 ,Q79401991,heather,"McManus 1991,§6.11",[VRAICCI],{string}
60,BAIDAGNI,Q106703695 ,Q79401991,Báetán,"McManus 1991,§6.12",[BAIDAGNI],{string}
61,BARANAN,Q106703698 ,Q79401991,raven,"McManus 1991,§6.12",[BARANAN],{string}
62,BROCAGNI,Q106703699 ,Q79401991,badger,"McManus 1991,§6.12",[BROCAGNI|BROCANN|BROCAGNI],{string}
63,CERANI,Q106703701 ,Q79401991,dark,"McManus 1991,§6.12",[CERANI|CERAN],{string}
64,COIMAGNI,Q106703702 ,Q79401991,"dear,precious","McManus 1991,§6.12",[COIMAGNI],{string}
65,COLOMAGNI,Q106703704 ,Q79401991,dove,"McManus 1991,§6.12",[COLOMAGNI],{string}
66,COMMAGGAGNI,Q106703705 ,Q79401991,leads,"McManus 1991,§6.12",[COMMAGGAGNI|COMMOGAN],{string}
67,CONANN,Q106703706 ,Q79401991,"hound,wolf","McManus 1991,§6.12",[CONANN],{string}
68,CORBAGNI,Q106703708 ,Q79401991,defiles,"McManus 1991,§6.12",[CORBAGNI],{string}
69,COVAGNI,Q106703710 ,Q79401991,brown,"McManus 1991,§6.12",[COVAGNI|CRONAN|CRONN],{string}
70,CVRCAGNI,Q106703711 ,Q79401991,heart/burns,"McManus 1991,§6.12",[CVRCAGNI],{string}
71,DALAGNI,Q68001812,Q79401991,blind,"McManus 1991,§6.12",[DAIMAGNI|DALAGNI],{string}
72,DOVAGNI,Q106703712 ,Q79401991,black,"McManus 1991,§6.12",[DOVAGNI|DOBAGNI],{string}
73,GIRAGNI,Q106703714 ,Q79401991,short (-haired),"McManus 1991,§6.12",[GIRAGNI],{string}
74,GLANNANI,Q106703715 ,Q79401991,pure,"McManus 1991,§6.12",[GLANNANI],{string}
75,LAIDANN,Q106703717 ,Q79401991,poem,"McManus 1991,§6.12",[LAIDANN|LADDIGNI],{string}
76,MODDAGNI,Q106703718 ,Q79401991,noble,"McManus 1991,§6.12",[MODDAGNI|MODDAGN],{string}
77,RONANN,Q106703720 ,Q79401991,seal,"McManus 1991,§6.12",[RONANN|RONNN],{string}
78,ULCAGNI,Q106703721 ,Q79401991,evil,"McManus 1991,§6.12",[ULCAGNI|VLCAGNI],{string}
79,VIRAGNI,Q106703723 ,Q79401991,man/true,"McManus 1991,§6.12",[VIRAGNI],{string}
80,BATTIGNI,Q106703724 ,Q79401991,foolish,"McManus 1991,§6.12",[BATTIGNI],{string}
81,QASIGNI,Q106703726 ,Q79401991,curly,"McManus 1991,§6.12",[QASIGNI|QASIGN],{string}
82,VENDOGNI,Q106703729 ,Q79401991,fair,"McManus 1991,§6.12",[VENDOGNI],{string}
83,CASONI,Q106703730 ,Q79401991,curly,"McManus 1991,§6.12",[CASONI],{string}
84,CRONUN,Q106703732 ,Q79401991,brown,"McManus 1991,§6.12",[CRONUN],{string}
85,GOSOCTAS,Q106703733 ,Q79401991,danger,"McManus 1991,§6.13",[GOSOCTAS],{string}
86,BRANOGENI,Q106703734 ,Q79401991,raven + he who is born of or son,"McManus 1991,§6.9",[BRANOGENI],{string}
87,CUNAGUSSOS,Q106703736 ,Q79401991,"hound, wolf + vigour","McManus 1991,§6.9",[CUNAGUSSOS],{string}
88,CATTUVVIRR,Q106703737 ,Q79401991,battle + man,"McManus 1991,§6.9",[CATTUVVIRR],{string}
89,DOMNGEN,Q106703739 ,Q79401991,world + son,"McManus 1991,§6.9",[DOMNGEN],{string}
90,GAMICUNAS,Q106703740 ,Q79401991,winter + wolf,"McManus 1991,§6.9",[GAMICUNAS],{string}
91,IVACATTOS,Q106703742 ,Q79401991,yew + battle,"McManus 1991,§6.9",[IVACATTOS],{string}
92,IVAGENI,Q106703743 ,Q79401991,yew + son,"McManus 1991,§6.9",[IVAGENI],{string}
93,MEDDO,Q106703745 ,Q79401991,mead + son,"McManus 1991,§6.9",[MEDDO|UGENI],{string}
94,VERGOSO,Q106703746 ,Q79401991,man + vigour,"McManus 1991,§6.9",[VERGOSO],{string}
95,BODIBEVE,Q106703747 ,Q79401991,"victory + living,alive","McManus 1991,§6.9",[BODIBEVE|BODDIB],{string}
96,BRANADDOV,Q106703748 ,Q79401991,raven + black,"McManus 1991,§6.9",[BRANADDOV],{string}
97,VENDUBARI,Q106703749 ,Q79401991,"top, head, hear of the head + fair","McManus 1991,§6.9",[VENDUBARI],{string}
98,BIVAIDONAS,Q106703750 ,Q79401991,alive + fire,"McManus 1991,§6.9",[BIVAIDONAS],{string}
99,DOVAIDONA,Q106703751 ,Q79401991,black + fire,"McManus 1991,§6.9",[DOVAIDONA],{string}
100,GLASICONAS,Q106703752 ,Q79401991,grey + wolf,"McManus 1991,§6.9",[GLASICONAS],{string}
101,TRENACCATLO,Q106703753 ,Q79401991,strong + battle,"McManus 1991,§6.9",[TRENACCATLO|TRENACATVS],{string}
102,VANDUBARI,Q106703754 ,Q79401991,fair + head,"McManus 1991,§6.9",[VANDUBARI],{string}
103,DOVALESCI,Q106703755 ,Q79401991,black + sluggish,"McManus 1991,§6.9",[DOVALESCI],{string}
104,AMMECATI,Q106703756 ,Q79401991,arround + battle,"McManus 1991,§6.9",[AMMECATI|AMBICATOS|BICATOS],{string}
