id|ciic_wd|ciic|o3d_wd|o3d|cisp_wd|cisp
53|Q70892412|53||||
54|Q70892414|54|||Q106675580|KLLOE/1
55|Q70892416|55|||Q106675444|COOME/1
56|Q70892424|56|||Q106675402|BURNF/1
57|Q70892427|57|Q106674325|57. Greenhill I|Q106675529|GRENL/1
58|Q70892430|58|Q106674327|58. Greenhill II|Q106675530|GRENL/2
59|Q70892431|59|||Q106675319|BABOR/1
60|Q70892434|60|||Q106675320|BABOR/2
61|Q70885730|61|||Q106675372|BIISL/1
62|Q70892436|62|||Q106675473|DNBUL/1
63|Q70885723|63|||Q106675517|GLEWI/1
64|Q70892438|64|||Q106675518|GLEWI/2
65|Q70892442|65|||Q106675653|RACOB/1
66|Q70892444|66|Q106674328|66. Faunkill and the Woods|Q106675506|FKWOO/1
67|Q70892450|67|||Q106675526|GOUR/1
68|Q70892452|68|||Q106675552|KLCAS/1
69|Q70892453|69|Q106674329|69. Ahalisky I|Q106675303|AHLIS/1
70|Q70892457|70|Q106674330|70. Ahalisky II|Q106675304|AHLIS/2
71|Q70892459|71|Q106674331|71. Ahalisky III|Q106675305|AHLIS/3
72|Q70892460|72|||Q106675316|AUTAG/1
73|Q70892463|73|||Q106675406|CARHA/1
74|Q70892466|74|||Q106675407|CARHA/2
75|Q70892468|75|||Q106675543|KEENH/1
76|Q70892474|76|||Q106675689|TEMAN/1
77|Q70892476|77|||Q106675401|BURGA/1
78|Q70892478|78|||Q106675443|COOLN/1
79|Q70892481|79|Q106674332|79. Rathcanning I|Q106675675|RTHCA/1
80|Q70892484|80|Q106674334|80. Rathcanning II|Q106675677|RTHCA/2
81|Q69385424|81|||Q106675512|GARES/1
82|Q70892485|82|||Q106675329|BAKNK/1
83|Q70885704|83|||Q106675336|BAKNK/2
84|Q70892488|84|||Q106675337|BAKNK/3
85|Q70885695|85|||Q106675338|BAKNK/4
86|Q70885716|86|||Q106675339|BAKNK/5
87|Q70885698|87|||Q106675340|BAKNK/6
88|Q70885720|88|||Q106675341|BAKNK/7
89|Q70885690|89|||Q106675343|BAKNK/8
90|Q70885712|90|||Q106675345|BAKNK/9
91|Q70892490|91|||Q106675330|BAKNK/10
92|Q70885713|92|||Q106675331|BAKNK/11
93|Q70885692|93|||Q106675332|BAKNK/12
94|Q70885706|94|||Q106675333|BAKNK/13
95|Q70885703|95|||Q106675334|BAKNK/14
96|Q70885697|96|||Q106675335|BAKNK/15
97|Q70892493|97|Q106674335|97. Ballyhank I|Q106675321|BAHAN/1
98|Q70892498|98|Q106674336|98. Ballyhank II|Q106675322|BAHAN/2
99|Q70892501|99|Q106674337|99. Ballyhank III|Q106675323|BAHAN/3
100|Q70892504|100|Q106674171|100. Ballyhank IV|Q106675324|BAHAN/4
101|Q70892506|101|Q106674173|101. Ballyhank V|Q106675326|BAHAN/5
102|Q70892509|102|Q106674174|102. Ballyhank VI|Q106675328|BAHAN/6
103|Q69377850|103|||Q106675359|BARHA/1
104|Q70892510|104|||Q106675430|COOGH/1
105|Q70885728|105|||Q106675431|COOGH/2
106|Q70892513|106|||Q106675463|DEELI/1
107|Q70885727|107|||Q106675522|GLLOG/1
108|Q70892516|108|||Q106675547|KILTH/1
109|Q70892518|109|||Q106675590|KLWER/1
110|Q70892523|110|||Q106675605|KNOUR/1
111|Q70892526|111|||Q106675606|KNOUR/2
112|Q70885739|112|||Q106675607|KNWEE/1
113|Q70382440|113|||Q106675608|KNWEE/2
114|Q70885736|114|||Q106675610|KNWEE/3
115|Q69383434|115|||Q106675611|KNWEE/4
116|Q70382438|116|||Q106675612|KNWEE/5
117|Q69385241|117|||Q106675613|KNWEE/6
118|Q70892527|118|Q106674179|118. Monataggart I|Q106675630|MONAT/1
119|Q70892531|119|Q106674180|119. Monataggart II|Q106675632|MONAT/2
120|Q70892533|120|Q106674182|120. Monataggart III|Q106675633|MONAT/3
121|Q70892534|121|||Q106675634|MONAT/4
122|Q70892536|122|||Q106675627|MNTRI/1
123|Q70892539|123|||Q106675628|MNTRI/2
124|Q70892540|124|||Q106675671|ROVMO/1
125|Q70892545|125|||Q106675672|ROVMO/2
126|Q70892549|126|||Q106675674|ROVMO/3
127|Q70885722|127|||Q106675695|TLGMO/1
128|Q70885734|128|||Q106675456|CRGUL/1
129|Q70892550|129|||Q106675435|COOLH/1
130|Q70892553|130|||Q106675457|CRNLO/1
131|Q70892555|131|||Q106675514|GLEBE/1
132|Q70892556|132|||Q106675515|GLEBE/2
133|Q70892558|133|||Q106675516|GLEBE/3
134|Q70892561|134|||Q106675589|KLVMO/1
135|Q70892563|135|||Q106675637|MUSIC/1
136|Q70892567|136|Q106674184|136. Ardfert I|Q106675313|ARDFE/1
137|Q70892569|137|||Q106675508|FORTW/1
138|Q70892572|138|||Q106675297|AGHIB/1
139|Q70892574|139|||Q106675298|AGHIB/2
140|Q70892577|140|||Q106675299|AGHIB/3
141|Q70892578|141|Q106674185|141. Aglish I|Q106675300|AGLIS/1
142|Q70892582|142|Q106674186|142. Aglish II|Q106675302|AGLIS/2
143|Q70892584|143|||Q106675309|ANGAP/1
144|Q70892586|144|||Q106675314|ARDNE/1
145|Q70892592|145|Q106674188|145. Arraglen|Q106675315|ARRAG/1
146|Q70892594|146|Q106674189|146. Ballineanig|Q106675375|BLNIG/1
147|Q70892598|147|Q106674190|147. Ballineesteenigh|Q106675349|BALEE/1
148|Q70892599|148|||Q106675351|BALIG/1
149|Q70892602|149|||Q106675352|BALIG/2
150|Q70892604|150|Q106674192|150. Ballinrannig III|Q106675353|BALIG/3
151|Q70892606|151|Q106674193|151. Ballinrannig IV|Q106675354|BALIG/4
152|Q70892609|152|Q106674194|152. Ballinrannig V|Q106675355|BALIG/5
153|Q70892611|153|Q106674195|153. Ballinrannig VI|Q106675356|BALIG/6
154|Q85409935|154|Q106674196|154. Ballinrannig VII|Q106675357|BALIG/7
155|Q70892616|155|Q106674197|155. Ballintaggart I|Q106675376|BLTAG/1
156|Q70892620|156|Q106674198|156. Ballintaggart II|Q106675377|BLTAG/2
157|Q70892623|157|Q106674199|157. Ballintaggart III|Q106675378|BLTAG/3
158|Q70892626|158|Q106674200|158. Ballintaggart IV|Q106675379|BLTAG/4
159|Q70892629|159|Q106674201|159. Ballintaggart V|Q106675380|BLTAG/5
160|Q70892630|160|Q106674203|160. Ballintaggart VI|Q106675382|BLTAG/6
161|Q70892632|161|Q106674204|161. Ballintaggart VII|Q106675383|BLTAG/7
162|Q70892635|162|Q106674205|162. Ballintaggart VIII|Q106675384|BLTAG/8
163|Q70892636|163|Q106674206|163. Ballintaggart IX|Q106675385|BLTAG/9
164|Q70892643|164|||Q106675386|BLTER/1
165|Q70892646|165|||Q106675388|BLTER/2
166|Q70892648|166|Q106674207|166. Ballinvoher|Q106675373|BLHER/1
167|Q70892652|167|||Q106675366|BDREN/1
168|Q70892653|168|||Q106675367|BDREN/2
169|Q70892655|169|||Q106675394|BRAGH/2
170|Q70892659|170|Q106674209|170. Ballymorereagh|Q106675391|BLYGH/1
171|Q70892660|171|Q106674210|171. Ballynahunt|Q106675374|BLHUN/1
172|Q70892662|172|Q106674211|172. Ballywiheen|Q106675403|BWEEN/1
173|Q70892669|173|Q106674212|173. Brackloon|Q106675395|BRCKN/1
174|Q70892670|174|||Q106675400|BRMOU/1
175|Q70892674|175|Q106674213|175. Burnham West|Q106675398|BRHAM/1
176|Q70892676|176|||Q106675404|CAMP/1
177|Q70892679|177|||Q106675405|CAMP/2
178|Q70892682|178|Q106674214|178. Coumeenole|Q106675447|COUME/1
179|Q70892683|179|||Q106675469|DINGL/1
180|Q70892686|180|Q106674215|180. Emlagh East|Q106675502|EMLGE/1
181|Q70892689|181|Q106674217|181. Emlagh West|Q106675503|EMLGW/1
182|Q70892693|182|||Q106675523|GLNMO/1
183|Q70892695|183|||Q106675519|GLHAN/1
184|Q70892699|184|||Q106675525|GORGH/1
185|Q70892701|185|Q106674218|185. Inishvickillane|Q106675540|INVIC/1
186|Q70892704|186|Q106674219|186. Kilfountain|Q106675544|KFNTN/1
187|Q70892706|187|Q106674220|187. Kilmalkedar|Q106675591|KMKDR/3
188|Q70892708|188|Q106674221|188. Kinard East I|Q106675548|KINET/1
189|Q70892711|189|Q106674222|189. Kinard East II|Q106675549|KINET/2
190|Q70892714|190|Q106674224|190. Lugnagappul I|Q106675623|LUGUL/1
191|Q70892719|191|Q106674225|191. Lugnagappul II|Q106675624|LUGUL/2
192|Q70892722|192|Q106674226|192. Martramane|Q106675636|MRAME/1
193|Q70892725|193|Q106674227|193. Maumanorig|Q106675626|MAUIG/1
194|Q70892726|194|||Q106675678|RTHDF/1
195|Q70892731|195|Q106674229|195. Rathmalode I|Q106675683|RTHOD/1
196|Q70892732|196|Q106674230|196. Rathmalode II|Q106675684|RTHOD/2
197|Q70892734|197|Q106674231|197. Coolmagort I|Q106675436|COOLM/1
198|Q70892738|198|Q106674232|198. Coolmagort II|Q106675437|COOLM/2
199|Q70892739|199|Q106674233|199. Coolmagort III|Q106675438|COOLM/3
200|Q70892745|200|Q106674235|200. Coolmagort IV|Q106675439|COOLM/4
201|Q70892748|201|Q106674236|201. Coolmagort V|Q106675440|COOLM/5
202|Q70892750|202|Q106674237|202. Coolmagort VI|Q106675441|COOLM/6
203|Q67978531|203|Q106674238|203. Coolmagort VII|Q106675442|COOLM/7
204|Q70892754|204|||Q106675462|CURMO/1
205|Q70892756|205|Q106674239|205. Derrygariff|Q106675468|DERIV/1
206|Q70892757|206|Q106674240|206. Kilcoolaght East I|Q106675554|KLCOO/1
207|Q70892761|207|Q106674242|207. Kilcoolaght East II|Q106675555|KLCOO/2
208|Q70892763|208|Q106674243|208. Kilcoolaght East III|Q106675556|KLCOO/3
209|Q70892767|209|Q106674244|209. Kilcoolaght East IV|Q106675557|KLCOO/4
210|Q70892772|210|Q106674246|210. Kilcoolaght East V|Q106675558|KLCOO/5
211|Q70892774|211|Q106674247|211. Kilcoolaght East VI|Q106675559|KLCOO/6
212|Q70892778|212|Q106674248|212. Kilcoolaght East VII|Q106675560|KLCOO/7
213|Q70892780|213|Q106674249|213. Kilcoolaght East VIII|Q106675561|KLCOO/8
214|Q70892784|214|||Q106675564|KLGOB/2
215|Q70892785|215|Q106674250|215. Whitefield I|Q106675704|WHFLD/1
216|Q70892787|216|Q106674251|216. Whitefield II|Q106675705|WHFLD/2
217|Q70892791|217|Q106674253|217. Whitefield III|Q106675706|WHFLD/3
218|Q70892792|218|Q106674254|218. Whitefield IV|Q106675707|WHFLD/4
219|Q70892797|219|||Q106675466|DEGAS/1
220|Q70892799|220|Q106674256|220. Derrynane|Q106675467|DENAN/1
221|Q70892801|221|||Q106675480|DRLUS/1
222|Q70892805|222|||Q106675625|MANGE/1
223|Q70892807|223|Q106674257|223. Parknasilla|Q106675652|PRKLA/1
224|Q70892808|224|||Q106675485|DROUK/1
225|Q70892810|225|||Q106675533|GRTMA/1
226|Q70892813|226|||Q106675538|INAGH/1
227|Q70892814|227|||Q106675622|LMNGH/1
228|Q70892818|228|||Q106675422|COHIL/1
229|Q70892821|229|||Q106675409|CARIN/1
230|Q70892823|230|Q106674259|230. Cloghanecarhan|Q106675414|CLCAH/1
231|Q70892827|231|||Q106675432|COOLE/1
232|Q70892828|232|||Q106675433|COOLE/2
233|Q70892829|233|||Q106675471|DKEAR/1
234|Q70892834|234|||Q106675578|KLKEE/1
235|Q70892835|235|||Q106675568|KLGRO/1
236|Q70892837|236|||Q106675587|KLURL/1
237|Q70892842|237|||Q106675588|KLURL/2
238|Q70892844|238|||Q106675618|LETER/1
239|Q70892846|239|||Q106675619|LETWE/1
240|Q70892848|240|||Q106675691|TERMY/1
241|Q70892851|241|Q106674260|241. Kilbonane|Q106675551|KLBON/1
242|Q70892852|242|Q106674261|242. Parkavonear|Q106675644|PARAR/1
243|Q70892854|243|||Q106675662|RFILD/1
244|Q70892857|244|||Q106675663|RFILD/2
245|Q70892859|245|||Q106675664|RFILD/3
246|Q70892864|246|||Q106675666|RFILD/4
247|Q70892869|247|||Q106675318|AYWAG/1
248|Q70892870|248|||Q106675362|BAWGL/1
249|Q70892873|249|||Q106675371|BHILL/1
250|Q70892889|250|||Q106675421|COBOY/1
251|Q70892894|251|||Q106675451|CRAG/1
252|Q70892895|252|Q106674266|252. Gurrane|Q106675534|GURAN/1
253|Q70892897|253|Q106674267|253. Killorglin|Q106675583|KLORG/1
254|Q70892906|254|||Q106675584|KLORG/2
255|Q70892907|255|Q106674268|255. Tinnahally I|Q106675693|TINAH/1
256|Q70892910|256|Q106674269|256. Tinnahally II|Q106675694|TINAH/2
257|Q70892912|257|||Q106675363|BAYEL/1
258|Q70892914|258|||Q106675369|BGARR/1
259|Q70892917|259|||Q106675629|MNTRU/1
260|Q70892919|260|||Q106675638|NEWLE/1
261|Q70892920|261|||Q106675649|PRIES/1
262|Q70885701|262|||Q106675686|SCHUD/1
263|Q70892923|263|Q106674271|263. Ardmore I|Q106675306|AMORE/1
264|Q70892924|264|Q106674272|264. Ardmore II|Q106675307|AMORE/2
265|Q70892930|265|Q106674273|265. Ardmore III|Q106675308|AMORE/3
266|Q70892932|266|Q106674274|266. Dromore I|Q106675481|DROMR/1
267|Q70892933|267|Q106674277|267. Dromore II|Q106675482|DROMR/2
268|Q70892935|268|Q106674278|268. Dromore III|Q106675484|DROMR/3
269|Q70892937|269|||Q106675528|GRANG/1
270|Q70892938|270|||Q106675389|BLVOO/1
271|Q70892940|271|||Q106675390|BLVOO/2
272|Q70892943|272|Q106674279|272. Drumlohan I|Q106675486|DRUML/1
273|Q70892944|273|Q106674280|273. Drumlohan II|Q106675488|DRUML/2
274|Q70892950|274|Q106674281|274. Drumlohan III|Q106675489|DRUML/3
275|Q70892951|275|Q106674282|275. Drumlohan IV|Q106675490|DRUML/4
276|Q70892952|276|Q106674283|276. Drumlohan V|Q106675491|DRUML/5
277|Q70892956|277|Q106674284|277. Drumlohan VI|Q106675492|DRUML/6
278|Q70892957|278|Q106674285|278. Drumlohan VII|Q106675493|DRUML/7
279|Q70892959|279|Q106674286|279. Drumlohan VIII|Q106675494|DRUML/8
280|Q70892962|280|Q106674288|280. Drumlohan IX|Q106675495|DRUML/9
281|Q70892964|281|Q106674290|281. Drumlohan X|Q106675487|DRUML/10
282|Q70892966|282|||Q106675509|FOXCA/1
283|Q70892968|283|||Q106675510|GAMIL/1
284|Q70892970|284|||Q106675511|GAMIL/2
285|Q70892972|285|Q106674292|285. Kilbeg|Q106675550|KLBEG/1
286|Q70892975|286|||Q106675570|KLGRV/1
287|Q70892978|287|||Q106675571|KLGRV/2
288|Q70892979|288|||Q106675572|KLGRV/3
289|Q70892982|289|||Q106675573|KLGRV/4
290|Q70892984|290|||Q106675574|KLGRV/5
291|Q70892987|291|||Q106675581|KLMOL/1
292|Q70892992|292|Q106674293|292. Knockboy I|Q106675592|KNBOY/1
293|Q70892993|293|Q106674294|293. Knockboy II|Q106675593|KNBOY/2
294|Q70892996|294|Q106674296|294. Knockboy III|Q106675594|KNBOY/3
295|Q70892999|295|Q106674297|295. Knockboy IV|Q106675595|KNBOY/4
296|Q70893002|296|Q106674298|296. Knockboy V|Q106675596|KNBOY/5
297|Q70893003|297|Q106674299|297. Knockboy VI|Q106675598|KNBOY/6
298|Q70893005|298|Q106674302|298. Knockboy VII|Q106675600|KNBOY/7
299|Q70893008|299|Q106674304|299. Knockboy VIII|Q106675601|KNBOY/8
300|Q70893010|300|Q106674305|300. Island|Q106675642|OLDIS/1
301|Q70893016|301|||Q106675699|TOOCU/1
302|Q70893017|302|||Q106675361|BAVEL/1
303|Q70893020|303|||Q106675392|BQUIN/1
304|Q70893023|304|||Q106675454|CREHS/1
305|Q70893024|305|||Q106675455|CRGHH/1
306|Q70893028|306|||Q106675603|KNKLA/1
307|Q70893030|307|||Q106675709|WINDG/1
308|Q70893035|308|||Q106675710|WINDG/2
309|Q70893037|309|||Q106675452|CRCOM/1
310|Q70893044|310|||Q106675453|CRCOM/2
311|Q70893046|311|||Q106675479|DRCOM/1
312|Q70893047|312|||Q106675655|RANTA/1
313|Q70893050|313|||Q106675501|DUNGM/1
314|Q70893052|314|||Q106675688|STISL/1
315|Q70893056|315|||Q106675698|TMOUN/1
316|Q70893058|316|||Q106675497|DUNAL/1
317|Q70893060|317|||Q106675296|AGHAS/1
318|Q85409967|194a|||Q106675679|RTHDF/2
319|Q85411181|218a|||Q106675708|WHFLD/5
320|Q85411211|242a|||Q106675647|PARAR/2
321|Q85410004|246a|Q106674263|246a. Ardcanaght I|Q106675311|ARDCT/1
322|Q85410013|246b|Q106674264|246b. Ardcanaght II|Q106675312|ARDCT/2
323|Q85410047|256a|||Q106675701|TRALE/1
324|||Q106674340|Ardfert II||
325|||Q106674341|Ballybarrack|Q106675346|BALBA/1
326|||Q106674342|Bunkilla||
327|||Q106674343|Church Island|Q106675412|CHUIS/1
328|||Q106674344|Churchclara II||
329|||Q106674345|Cloghabrody||
330|||Q106674346|Coumlanders||
331|||Q106674347|Drummin II||
332|||Q106674348|Kilgrovan VI|Q106675575|KLGRV/6
333|||Q106674349|Kilgrovan VII||
334|||Q106674350|Knockmahon I|Q106675604|KNMAH/1
335|||Q106674351|Knockmahon II||
336|||Q106674352|Ratass|Q106675656|RATAS/1
337|||Q106674353|Rathkenny IV||
338|||Q106674355|Scattery Island||
339|||Q106674356|Shankill|Q106675687|SHANK/1
340|||Q106674357|Tullaherin II||
341||1083|Q106674175|1083. Rathkenny I||
342||1084|Q106674176|1084. Rathkenny II||
343|||||Q106675358|BALIG/8
344|||||Q106675393|BRAGH/1
345|||||Q106675563|KLGOB/1
346|||||Q106675566|KLGOB/3
347|||||Q106675310|ANSCL/1
348|||||Q106675348|BALBR/1
349|||||Q106675725|BENBR/1
350|||||Q106675399|BRHKL/1
351|||||Q106675408|CARHA/3
352|||||Q106675410|CHFLD/1
353|||||Q106675415|CLHEE/1
354|||||Q106675416|CLMAC/152
355|||||Q106675417|CLMAC/262
356|||||Q106675419|CLMOR/2
357|||||Q106675458|CRSER/1
358|||||Q106675461|CSTGR/1
359|||||Q106675475|DNWAY/1
360|||||Q106675476|DNWAY/2
361|||||Q106675477|DNWAY/3
362|||||Q106675504|FARAN/1
363|||||Q106675513|GEARS/1
364|||||Q106675723|GLINS/1
365|||||Q106675524|GLSHS/1
366|||||Q106675536|HTOWN/1
367|||||Q106675542|KEELW/1
368|||||Q106675579|KLLAG/1
369|||||Q106675585|KLORG/3
370|||||Q106675586|KLQAN/1
371|||||Q106675614|LABAN/1
372|||||Q106675620|LHANE/1
373|||||Q106675621|LHANE/2
374|||||Q106675639|NOBBE/1
375|||||Q106675640|NOBBE/2
376|||||Q106675641|NOBBE/3
377|||||Q106675658|RATHK/1
378|||||Q106675668|RFILD/5
379|||||Q106675669|RFILD/6
380|||||Q106675680|RTHKE/1
381|||||Q106675681|RTHKE/2
382|||||Q106675682|RTHKE/3
383|||||Q106675692|THOTO/1
384|||||Q106675700|TOURP/6
